"Project Name","Item Title","Item Ark","Item Sequence","Type.typeOfResource","Rights.copyrightStatus","Name.sponsor","Name.publisher","Name.subject","Rights.servicesContact","Subject.conceptTopic","Type.genre","Language","Name.repository","Name.designer","Subject.uniformTitle","Name.photographer","Name.creator","Subject.geographicPlace","Coverage.geographic","AltTitle.other","Publisher.placeOfOrigin","Date.creation","Date.normalized","Description.note","Description.caption","Format.extent","Title","Alt ID.local","AltTitle.parallel","Publisher.publisherName","thumbnailImageName","masterImageName"
"Ethiopian Posters","InfoMed Technologies","21198/zz002hh4kr","","still image","","","InfoMed Technologies","InfoMed Technologies","","Medical laboratory technology $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","AB GET Printing Press","","","","","Ethiopia","","[Addis Ababa (Ethiopia)]","[2008?]","2008","Poster seems to be showing the various types of medical laboratory machines and equipment InfoMed Technologies can supply and support.  Two machines identified include an ALC PK121 centrifuge and a Jenway flame photometer.","Desine [sic] & printed by AB GET Printing Press.","1 poster : col.","InfoMed Technologies","ucla_1922_box02_folder010_007","","","ucla_1922_box02_folder010_007.jpg","ucla_1922_box02_folder010_007.tif"
"Ethiopian Posters","Medicam","21198/zz002hh4m8","","still image","copyrighted","","Medicam (Firm)","","","Hygiene $z Ethiopia|~|Advertising $x Soap $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Samson Advertising (Firm)","","","","","Ethiopia","","[Ethiopia]","2008","2008","A smiling woman wearing a red nightgown and robe adjusts a white towel wrapped around her hair. Next to her are 3 packages of Medicam antiseptic soaps: grape, lemon, and regular. Main colors are red and yellow.","Oman Global PLC","1 poster : col.","Medicam","ucla_1922_box02_folder010_008","","","ucla_1922_box02_folder010_008.jpg","ucla_1922_box02_folder010_008.tif"
"Ethiopian Posters","Power foam Omo multiactive detergent","21198/zz002hh4ns","","still image","","","","","","Advertising $x Cleaning compounds $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Ethiopia]","[between 1990 and 2010]","1990/2010","A smiling boy in an red and white striped jersey,  holds a soccer ball. The jersey and ball are streaked with mud. On the right side of the poster is an opened red, white, and blue bag of Omo laundry detergent.","New improved.","1 poster : col.","Power foam Omo multiactive detergent","ucla_1922_box02_folder010_009","","","ucla_1922_box02_folder010_009.jpg","ucla_1922_box02_folder010_009.tif"
"Ethiopian Posters","Ethiopian Shipping Lines Corporation","21198/zz002hh4p9","","still image","","","YaʼItyop̣yā negd markab ʼaksiyon māh̲bar","YaʼItyop̣yā negd markab ʼaksiyon māh̲bar","","Freight and freightage $z Ethiopia|~|Shipping companies (Marine transportation) $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Addis Ababa (Ethiopia)]","[between 1965 and 2010]","1965/2010","Green poster with the company's logo in brown and yellow. Company logo is a lion rampant encircled by a ship's steering wheel.","","1 poster : col.","Ethiopian Shipping Lines Corporation","ucla_1922_box02_folder010_010","","","ucla_1922_box02_folder010_010.jpg","ucla_1922_box02_folder010_010.tif"
"Ethiopian Posters","Your favorite beauty soaps","21198/zz002hh4qt","","still image","","","Ethio-Asian Industries PLC","","","Hygiene $z Ethiopia|~|Advertising $x Soap $z Ethiopia|~|Beauty, Personal $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","Addis Ababa (Ethiopia)","[between 1995 and 2010]","1995/2010","A poster with several different kinds of beauty soaps: Diana beauty soap with moisturising cream, floral Sara beauty soap with beauty lotion, Love beauty soap, Diana soap, and Diana fruity soap.","","1 poster : col.","Your favorite beauty soaps","ucla_1922_box02_folder010_011","","","ucla_1922_box02_folder010_011.jpg","ucla_1922_box02_folder010_011.tif"
"Ethiopian Posters","Arak Herbal toothpaste","21198/zz002hh4rb","","still image","","","Diyab Industry PLC","","","Teeth $x Care and hygiene $z Ethiopia|~|Advertising $x Toothpaste $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Target Imaging (Firm)","","","","","Ethiopia","","[Addis Ababa (Ethiopia)]","[between 1995 and 2010]","1995/2010","A smiling woman with her hair wrapped up in a white towel holds a red toothbrush and a tube of Arak Herbal toothpaste. A green and red box of Arak Herbal is in the foreground of the picture. Background is green and orange.","Fresh. We make a product that makes you smile!|~|For a healthy and brighter smile use Herbal Arak.","1 poster : col.","Arak Herbal toothpaste","ucla_1922_box02_folder010_012","","","ucla_1922_box02_folder010_012.jpg","ucla_1922_box02_folder010_012.tif"
"Ethiopian Posters","Bravo: the new generation pasta","21198/zz002hh4sv","","still image","","","Universal Food Complex PLC","","","Advertising $x Pasta products $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Sems Studio (Firm)","","","","","Ethiopia","","[Addis Ababa (Ethiopia)]","2007","2007","At the top right of the poster is the number ""2000,"" with the zeros represented by pasta dishes.Five soccer players in action across the middle of the poster with the letters BRAVO printed under them. One soccer player's head and torso with arms raised, hands together on the left, with the ""Bravo Pasta"" logo placed over his hands. A package of dried spaghetti (Bravo Spaghetti) is on the left side of the poster.","Happy new year & millennium: 2000 Ethiopian millennium","1 poster : col.","Bravo: the new generation pasta","ucla_1922_box02_folder010_013","","","ucla_1922_box02_folder010_013.jpg","ucla_1922_box02_folder010_013.tif"
"Ethiopian Posters","Red Cross basic principles","21198/zz002hh4tc","","still image","","","YaʼItyoṗyā qay masqal māh̲ebar","YaʼItyoṗyā qay masqal māh̲ebar","","","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Ethiopian Red Cross Society (ERCS)","Addis Ababa (Ethiopia)","[between 1992 and 1999]","1992/1999","Front of poster depicts illustrated red cross in center, printed with Red Cross Basic Principles and flanked by black-and-white photographs of Ethiopian Red Cross Society efforts. Back of poster contains text about the following aspects of the Ethiopian Red Cross Society: its historical background, organizational structure, services, youth clubs, public relations and dissemination, and training.","Dignity for all","1 poster : col.","Red Cross basic principles","ucla_1922_box02_folder011_001","","","ucla_1922_box02_folder011_001.jpg","ucla_1922_box02_folder011_001.tif"
"Ethiopian Posters","ucla_1922_box02_folder011_001a","21198/zz002hh4vw","","still image","","","","","","","posters","","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","","","","","","1 poster : col.","ucla_1922_box02_folder011_001a","ucla_1922_box02_folder011_001a","","","ucla_1922_box02_folder011_001a.jpg","ucla_1922_box02_folder011_001a.tif"
"Ethiopian Posters","Ever been at the CRDA Resource Center?","21198/zz002hh4wd","","still image","","","Christian Relief & Development Association (Ethiopia)","Christian Relief & Development Association (Ethiopia)","","Nonprofit organizations $z Ethiopia $x Information services","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","Christian Relief & Development Association (Ethiopia). $b Information Management Department","","Ethiopia","","Addis Ababa (Ethiopia)","[between 2000 and 2010]","2000/2010","Poster depicts resources and services offered by the Christian Relief & Development Association (CRDA) to Ethiopian NGOs, faith-based organizations, and researchers. Illustrated with photographic images of resource books.|~|Text is in English.","Internet service for staff of NGOs and researchers available.|~|Christian Relief and Development Association's (CRDA) Resource Center provides services to all in the development sector, researchers, trainees, etc.|~|It offers useful books, research documents, periodic publications, videos of documentary films, CD recordings, etc. in the area of development.|~|Prepared by the Information Management Department of CRDA.|~|Flamingo Printing Press PLC|~|CRDA is an umbrella organization of more than 250 NGOs and faith-based agencies operational in Ethiopia.","1 poster : col.","Ever been at the CRDA Resource Center?","ucla_1922_box02_folder011_002","","","ucla_1922_box02_folder011_002.jpg","ucla_1922_box02_folder011_002.tif"
"Ethiopian Posters","""Violence against women""","21198/zz002hh4xx","","still image","","Ethiopian Society of Obstetricians and Gynecologists|~|International Federation of Gynecology and Obstetrics|~|David & Lucile Packard Foundation","","Ethiopian Society of Obstetricians and Gynecologists. $b Annual Conference $n (10th : $d 2002 : $c Addis Ababa, Ethiopia)","","Congresses and conventions $z Ethiopia|~|Women $x Violence against $z Ethiopia $x Congresses","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","10th Annual Conference of ESOG June 3-4, 2002: Theme of the conference ""Violence Against Women""","Addis Ababa (Ethiopia)","[June 3, 2002?]","2002-06-03","Poster announces the 10th Annual Conference of ESOG, held at Hilton Hotel (Addis Ababa?), with ESOG contact information. Illustrated with ESOG logo in center, a border of blue triangles, and light yellow shapes in the background.","With compliments of FIGO & Packard Foundation","1 poster : col.","""Violence against women""","ucla_1922_box02_folder011_003","","","ucla_1922_box02_folder011_003.jpg","ucla_1922_box02_folder011_003.tif"
"Ethiopian Posters","Credit unions: building a better tomorrow","21198/zz002hh4zf","","still image","","Addis Ababa (Ethiopia). $b Co-operatives Organisation and Promotion Bureau","","","","Credit unions","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","International Credit Union Day October 17, 2002","Addis Ababa (Ethiopia)","[October 17, 2002?]","2002-10-17","Poster announces the 2002 International Credit Union Day, depicting in the center a photographic collage of people's faces within a blue and yellow illustration of a sun or star, possibly resembling the emblem on the flag of Ethiopia.","Commercial Printing Enterprise","1 poster : col.","Credit unions: building a better tomorrow","ucla_1922_box02_folder011_004","","","ucla_1922_box02_folder011_004.jpg","ucla_1922_box02_folder011_004.tif"
"Ethiopian Posters","Ethnical clashes on the campus: what are the root causes?","21198/zz002hh50f","","still image","","","Goethe-Institut Gebrekristos Desta Center Addis Ababa","","","Ethnic conflict $z Ethiopia|~|Lectures and lecturing $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Democracy and the social question II: series of lectures in the academic year 2006-2007","Addis Ababa (Ethiopia)","[July 10, 2007?]","2007-07-10","Poster announces lecture. Includes sponsor logos of Friedrich Ebert Stiftung, Capital, and Addis Ababa University. Background illustrated with image of a building.","Moderated by Prof. Charles Verharen, Prof. & Director of Graduate Studies Dep. of Philosophy, Howard University Washington, DC.|~|Tuesday, July 10th at 6 p.m., at Ras Mekonn Hall, AAU|~|By Prof. Andreas Eshete, President of AAU; Demelash Fiseha Giorgis, President of the Students Union, AAU; Anteneh Tsegaye, AAU; Dr. Assefa Fiseha, Faculty of Law, AAU","1 poster : b&w","Ethnical clashes on the campus: what are the root causes?","ucla_1922_box02_folder011_005","","","ucla_1922_box02_folder011_005.jpg","ucla_1922_box02_folder011_005.tif"
"Ethiopian Posters","Violence against girls and women social mobilization against sanctioned","21198/zz002hh51z","","still image","","","Goethe-Institut Gebrekristos Desta Center Addis Ababa","","","Women $x Violence against $z Ethiopia|~|Lectures and lecturing $z Ethiopia|~|Girls $x Violence against $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Democracy and the social question II: series of lectures in the academic year 2006-2007","Addis Ababa (Ethiopia)","[March 27, 2007?]","2007-03-27","Poster announces lecture. Includes sponsor logos of Friedrich Ebert Stiftung, Capital, and Addis Ababa University. Background illustrated with image of a building.","Future speakers will include: Prof. Andreas Eshete, President AA.; H.E. Ambassador Gurijit Singh, India; H.E. Ato Arkebe Oqubay, Stater - Minister Urban Development; H.E. Ambassador Edith Grace Ssempla, Uganda|~|Lectures take place every second Tuesday at 6 p.m.|~|Moderator: Prof. Dr. Elaine Rocha, AAU, Department of Gender Studies|~|Lecture by Dr. Bogaletch Gebre, Executive Director of Kembatta Women's Self-Helf Center Ethiopia (KMG)","1 poster : b&w","Violence against girls and women social mobilization against sanctioned","ucla_1922_box02_folder011_006","","","ucla_1922_box02_folder011_006.jpg","ucla_1922_box02_folder011_006.tif"
"Ethiopian Posters","Problems about equality","21198/zz002hh52g","","still image","","Addis Ababa University","","Cohen, G. A. $q (Gerald Allan), $d 1941-2009","","Lectures and lecturing $z Ethiopia|~|Equality","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","You are cordially invited to a public lecture by George Cohen on problems about equality","Addis Ababa (Ethiopia)","[July 23, 2007]","2007-07-23","Poster is chiefly textual, with a purple rubber-stamped seal of Addis Ababa University at the bottom. Includes biographical information about Gerald Cohen.","Monday, 23 July 2007 at 5 pm, Ras Mekonnen Hall, AAU","1 poster : col.","Problems about equality","ucla_1922_box02_folder011_007","","","ucla_1922_box02_folder011_007.jpg","ucla_1922_box02_folder011_007.tif"
"Ethiopian Posters","Eighth International Conference on the Ethiopian Economy June 2010 conference announcement and call for papers","21198/zz002hh530","","still image","","","Ethiopian Economic Association. $b Secretariat","International Conference on the Ethiopian Economy $n (7th : $d 2010 : $c Addis Ababa, Ethiopia)|~|International Conference on the Ethiopian Economy $n (8th : $d 2010 : $c Addis Ababa, Ethiopia)","","Congresses and conventions $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Economic conditions $x Congresses","Ethiopia","","Addis Ababa (Ethiopia)","2010","2010","Poster is entirely in text, printed in black, red, and blue, with a blue border. The text describes the 7th International Conference on the Ethiopian Economy and calling for papers from economists and other professionals on any topic related to the performance and/or development of the Ethiopian economy for the 8th International Conference on the Ethiopian Economy.","World Bank, Future Agriculture, IFPRI, RiPPLE, Economics Department of AAU, Young Lives Study and Ethiopian Development Research Institute (EDRI)","1 poster : col.","Eighth International Conference on the Ethiopian Economy June 2010 conference announcement and call for papers","ucla_1922_box02_folder011_008","","","ucla_1922_box02_folder011_008.jpg","ucla_1922_box02_folder011_008.tif"
"Ethiopian Posters","Have you done enough?","21198/zz002hh54h","","still image","","","","","","International Women's Day $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Ethiopia?]","[March 27, 2009?]","2009-03-27","Poster depicts a photograph of a woman and describes events scheduled in celebration of International Women's Day. Includes the sponsor logos of Norwegian Church Aid, Action Aid Ethiopia, and DKT Ethiopia.","An event held as part of March 8 celebrations|~|Friday March 27, 2009 - Sebastopol Cinema - From 2:00-5:00 PM","1 poster : col.","Have you done enough?","ucla_1922_box02_folder011_009","","","ucla_1922_box02_folder011_009.jpg","ucla_1922_box02_folder011_009.tif"
"Ethiopian Posters","Cooperation on the Nile: sustaining our life, our future!","21198/zz002hh551","","still image","","Nile Basin Initiative","","","","Special days $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","Nile River Watershed","Ethiopia","","[Addis Ababa (Ethiopia)]","[February 22, 2008?]","2008-02-22","Poster depicts a photomontage of hands holding a globe, with the Nile Basin labeled and highlighted in blue. At the bottom are the flags of countries in the Nile Basin. At the top are the logo of the Nile Basin Initiative and the flag of Ethiopia. Text describes scheduled events for Nile Day 2008.","Nile Day 2008, February 22, Addis Ababa, Ethiopia","1 poster : col.","Cooperation on the Nile: sustaining our life, our future!","ucla_1922_box02_folder011_010","","","ucla_1922_box02_folder011_010.jpg","ucla_1922_box02_folder011_010.tif"
"Ethiopian Posters","Student research grant competition on gender studies","21198/zz002hh56j","","still image","","","Addis Ababa University. $b Center for Research Training and Information for Women in Development","","","Women's studies $x Competitions $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","Addis Ababa (Ethiopia)","2007","2007","Poster is chiefly in text, with an illustration of the Addis Ababa University seal on the top. Describes the objective and application requirements of the grant competition.","The Institute of Gender Studies is pleased to announce the 2007/08 student research grant competition on gender issues in Ethiopia","1 poster : col.","Student research grant competition on gender studies","ucla_1922_box02_folder012_001","","","ucla_1922_box02_folder012_001.jpg","ucla_1922_box02_folder012_001.tif"
"Ethiopian Posters","Darfur and the crisis of governance in Sudan","21198/zz002hh572","","still image","","Addis Ababa University. $b YaʼItyop̣yā ṭenātenā meremer taqwām|~|Cornell University","","","","Congresses and conventions $z Ethiopia|~|Darfur Conflict, Sudan, 2003- $x Congresses","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Addis Ababa (Ethiopia)?]","February, 2008","2008-02","Poster depicts the map of Sudan over stylized flames in a color gradation of black and red. ""Darfur"" in the title is printed in red.","An international conference|~|Accompanied by Dar-links, an art exhibition curated by Kojit Seyoum of Asni Gallery|~|Sponsored by the Institute of Ethiopian Studies of Addis Ababa University and Cornell University, Ithaca, New York at the Institute of Ethiopian Studies (IES) on February 21-22, 2008","1 poster : col.","Darfur and the crisis of governance in Sudan","ucla_1922_box02_folder012_002","","","ucla_1922_box02_folder012_002.jpg","ucla_1922_box02_folder012_002.tif"
"Ethiopian Posters","Don't perpetuate FGM","21198/zz002hh58k","","still image","","Denmark. $b Udenrigsministeriet|~|Eastern African Sub-regional Support Initiative for the Advancement of Women","","","","Female circumcision $z Africa, Eastern","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Kampala, Uganda?]","[between 1965 and 2010]","1965/2010","Poster depicts illustration of four men and one woman pointing at three women. Two of the three women hold their fingers at their mouths, and the third holds her hand to her face. One of the three women is sitting beside a basket surrounded by four knives, and another carries a baby on her back.","""Let your voices be heard""","1 poster : col.","Don't perpetuate FGM","ucla_1922_box02_folder012_003","","","ucla_1922_box02_folder012_003.jpg","ucla_1922_box02_folder012_003.tif"
"Ethiopian Posters","Darfur and the crisis of governance in Sudan","21198/zz002hh593","","still image","","Addis Ababa University. $b YaʼItyop̣yā ṭenātenā meremer taqwām|~|Cornell University. $b Africana Studies and Research Center|~|Prince Claus Fund","","","","Congresses and conventions $z Ethiopia|~|Darfur Conflict, Sudan, 2003- $x Congresses","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","Addis Ababa (Ethiopia)","2008","2008","Poster depicts photograph of people standing in smoke among burnt trees. In the upper left-hand background is a photograph of a crowd of people in inverted colors. Conference participants' names are printed in gray in the lower background.","An international conference, February 21-22, 2008, Addis Ababa, Ethiopia","1 poster : col.","Darfur and the crisis of governance in Sudan","ucla_1922_box02_folder012_004","","","ucla_1922_box02_folder012_004.jpg","ucla_1922_box02_folder012_004.tif"
"Ethiopian Posters","What is ""zemenawinet""? - perspectives on Ethiopian modernity","21198/zz002hh5bm","","still image","","Goethe-Institut Gebrekristos Desta Center Addis Ababa|~|Friedrich-Ebert-Stiftung|~|Addis Ababa University","","","","Lectures and lecturing $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Civilization","Ethiopia","New interdisciplinary public lecture series","Addis Ababa (Ethiopia)","[February 24, 2010?]","2010-02-24","Poster depicts a photograph of Ras Mekonnen Hall, Addis Ababa University. Includes the sponsors' logos on the bottom.","The new lecture series is organized by Addis Ababa University, Friedrich-Ebert-Stiftung and Goethe-Institut Addis Abeba on every last Wednesday of a month. In English.|~|Launch lecture: What is unique about modernity? by Prof. Andreas Eshete, President of Addis Ababa University, Wednesday, 24 February 2010 at 6pm, Ras Mekonnen Hall, Addis Ababa University","1 poster : col.","What is ""zemenawinet""? - perspectives on Ethiopian modernity","ucla_1922_box02_folder012_005","","","ucla_1922_box02_folder012_005.jpg","ucla_1922_box02_folder012_005.tif"
"Ethiopian Posters","Sixth African Conference on Child Abuse and Neglect: with focus on early childhood development and education","21198/zz002hh5c4","","still image","","African Network on Prevention and Protection against Child Abuse and Neglect. $b Ethiopia Chapter. $b Conference Secretariat","","African Conference on Child Abuse and Neglect $n (6th : $d 2009 : $c Addis Ababa, Ethiopia)","","Congresses and conventions $z Ethiopia|~|Child abuse $z Africa $x Congresses","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","Addis Ababa (Ethiopia)","2008","2008","Poster is chiefly text, with blue and black text on a green background, and a blue and white header and footer.","UNECA Conference Center, Addis Ababa, Ethiopia, 4-6 May 2009|~|Call for paper presentations deadline 31 October 2008","1 poster : col.","Sixth African Conference on Child Abuse and Neglect: with focus on early childhood development and education","ucla_1922_box02_folder012_006","","","ucla_1922_box02_folder012_006.jpg","ucla_1922_box02_folder012_006.tif"
"Ethiopian Posters","""Art for Development""","21198/zz002hh5dn","","still image","","Goethe-Institut Gebrekristos Desta Center Addis Ababa","","","","Art","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Arts forum","Addis Ababa (Ethiopia)","[November 20, 2003?]","2003-11-20","Poster depicts an illustration of a black circle.","by Bekele Mekonnen and Leo|~|Thursday, November 20, 2003 at 6 p.m.","1 poster : b&w","""Art for Development""","ucla_1922_box02_folder012_007","","","ucla_1922_box02_folder012_007.jpg","ucla_1922_box02_folder012_007.tif"
"Ethiopian Posters","Exhibition 1962-2002: The German Cultural Institute Addis Ababa 40th anniversary","21198/zz002hh5f5","","still image","","Goethe-Institut Gebrekristos Desta Center Addis Ababa","","Goethe-Institut Gebrekristos Desta Center Addis Ababa $x Exhibitions","","","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","Addis Ababa (Ethiopia)","[June 4, 2002?]","2002-06-04","Poster depicts a black-and-white photograph of four men, including Emperor Haile Selassie and German ambassador Paulus von Stolzmann (both on the right), at the June 14, 1962 inauguration of the Goethe-Institut in Addis Ababa.","Opening Tuesday, 04.06.02, at 6 p.m.|~|The exhibition remains open until 28.06.02","1 poster : b&w","Exhibition 1962-2002: The German Cultural Institute Addis Ababa 40th anniversary","ucla_1922_box02_folder012_008","","","ucla_1922_box02_folder012_008.jpg","ucla_1922_box02_folder012_008.tif"
"Ethiopian Posters","""Migration-Induced Conflicts in Ethiopia""","21198/zz002hh5gp","","still image","","Goethe-Institut Gebrekristos Desta Center Addis Ababa","","Tesfaye Tafesse","","Ethnic conflict $z Ethiopia|~|Migration, Internal $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Presentation: ""Migration-Induced Conflicts in Ethiopia""","Addis Ababa (Ethiopia)","[January 29, 2004?]","2004-01-29","Poster illustrated with black triangle.","Thursday, January 29, 2004, at 6 p.m.|~|By Dr. Tesfaye Tafesse / EAHF","1 poster : b&w","""Migration-Induced Conflicts in Ethiopia""","ucla_1922_box02_folder012_009","","","ucla_1922_box02_folder012_009.jpg","ucla_1922_box02_folder012_009.tif"
"Ethiopian Posters","Conservation strategy of Ethiopia","21198/zz002hh5h6","","still image","","Conservation Strategy of Ethiopia Project","","","","Conservation of natural resources $z Ethiopia|~|Sustainable development $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","Addis Ababa (Ethiopia)","[between 1965 and 2010]","1965/2010","Poster depicts a white circle with an illustration of hands holding a landscape that includes a mud hut, flowing water, an acacia tree, the sun, and clouds. Poster background is in green.","Let us conserve our natural resources for sustainable development","1 poster : col.","Conservation strategy of Ethiopia","ucla_1922_box02_folder013_001","","","ucla_1922_box02_folder013_001.jpg","ucla_1922_box02_folder013_001.tif"
"Ethiopian Posters","Say no to illegally slaughtered meat","21198/zz002hh5jq","","still image","","","","","","Slaughtering and slaughter-houses $x Law and legislation $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Addis Ababa (Ethiopia)?]","[between 1999 and 2010]","1999/2010","Poster depicts photographs of livestock on a gradated black and blue background. Text is chiefly in Amharic, printed in yellow and red, with some English text printed in white and yellow.","Addis Ababa Kera (Abattoris [sic]) Enterprise; RISE Organization; Karaalo Kera (Abattoirs) Enterprise; Burayu Kera (Abattoirs) Enterprise|~|AB GET Printing Press|~|Illegal slaughtering: a serious threat to our health and economy","1 poster : col.","Say no to illegally slaughtered meat","ucla_1922_box02_folder013_002","","","ucla_1922_box02_folder013_002.jpg","ucla_1922_box02_folder013_002.tif"
"Ethiopian Posters","World Water Day March 22/2006","21198/zz002hh5k7","","still image","","","","","","Water conservation $z Ethiopia|~|Special days $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Equatorial Media Works","","","","","Ethiopia","","[Addis Ababa (Ethiopia)?]","[March 22, 2006?]","2006-03-22","Includes the following sponsor logos: Ethiopia, Ministry of Water Resources; UNICEF; WaterAid; Nile Basin Initiative; Global Water Partnership, Eastern Africa, Ethiopia Country Water Partnership (ECWP); Intermon Oxfam; Water Action; Roto PLC; and Water Well Drilling Enterprise|~|Poster depicts a photograph of two women and a girl walking in a field with two pack mules. One of the women carries a basket on her head, and the other carries a bottle on her head. The girl leads a mule. The top and bottom of the poster have a purple border, and the right-hand side has a blue border patterned with an illustration of the rotating Earth.","""Build a culture of protecting and wisely using our water resources.""|~|Printed by AB GET Printing Press|~|Prepared by Equatorial Media Works","1 poster : col.","World Water Day March 22/2006","ucla_1922_box02_folder013_003","","","ucla_1922_box02_folder013_003.jpg","ucla_1922_box02_folder013_003.tif"
"Ethiopian Posters","What does federalism mean for me?","21198/zz002hh5mr","","still image","","","","International Conference on Federalism $n (5th : $d 2010 : $c Addis Ababa, Ethiopia)","","Federal government $x Congresses|~|Congresses and conventions $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","[Addis Ababa (Ethiopia)?]","2010","2010","","Poster is two-sided, with text in Amharic on one side and text in English on the other side. Both sides depict a circle illustrated with puzzle-like pieces in green, yellow, red, and purple surrounding the emblem of Ethiopia; text is in green, yellow, and red, with checked boxes to the left of the yellow text.|~|5th International Conference on Federalism, Addis Ababa, Ethiopia 2010","1 poster : col.","What does federalism mean for me?","ucla_1922_box02_folder013_004","","","ucla_1922_box02_folder013_004.jpg","ucla_1922_box02_folder013_004.tif"
"Ethiopian Posters","Poster in chiefly in Amharic about corruption [descriptive]","21198/zz002hh5ps","","still image","","","Ethiopia. $b Fédarāl śenamegbārenā ṡara-musenā komišen","","","Corruption $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","Addis Ababa (Ethiopia)","[between January 9 and February 7, 2009]","2009-01-09/2009-02-07","Poster depicts an illustration of a man in a shirt and tie holding his palm out and turning his face away, with a photomontage of papers in the yellow background. Includes the seal of the Ethiopian Federal Ethics and Anti-Corruption Commission in the top left-hand corner.|~|Chiefly in Amharic with some English.","","1 poster : col.","Poster in chiefly in Amharic about corruption [descriptive]","ucla_1922_box02_folder013_005","","","ucla_1922_box02_folder013_005.jpg","ucla_1922_box02_folder013_005.tif"
"Ethiopian Posters","Poster about Ethiopian Millennium 2000, children, and families [descriptive]","21198/zz002hh5q9","","still image","","","","","","Children $z Ethiopia|~|Special days $z Ethiopia|~|Families $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","","Addis Ababa (Ethiopia)","[March 31, 2008?]","2008-03-31","Poster depicts a medium close-up photograph of two children posing for the camera. Background illustrated with a rainbow.|~|Includes logos of the following: Addis Ababa City Administration, Ethiopian Millennium 2000, SOS  Children's Village Ethiopia, Mary Joy Aid through Development, Mega Publishing & Distribution PLC, Cooperazione italiana allo sviluppo, CCF Ethiopia, Save the Children Sweden, and Save the Children Finland.","Litho Printer","1 poster : col.","Poster about Ethiopian Millennium 2000, children, and families [descriptive]","ucla_1922_box02_folder013_006","","","ucla_1922_box02_folder013_006.jpg","ucla_1922_box02_folder013_006.tif"
"Ethiopian Posters","Religious poster featuring cosmic collage [descriptive]","21198/zz002hh5rt","","still image","","","","","","","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","","[Ethiopia]","[between 2000 and 2010?]","2000/2010","Poster depicts a collage of photographs and illustrations that include the Earth and Moon from outer space, a scale, a handprint, a brain, a skeleton, an eye, various Ethiopian landscapes, and tree roots.","Printed by Dire Printing Sh. Co.","1 poster : col.","Religious poster featuring cosmic collage [descriptive]","ucla_1922_box02_folder013_007","","","ucla_1922_box02_folder013_007.jpg","ucla_1922_box02_folder013_007.tif"
